game_id,game_date,quarter,time,play_description,home_score,away_score,team,player
3bofd398uen2,2025-01-27,Q1,7:00,Jumpball (Rose gains possesion),0,0,Rose,
3bofd398uen2,2025-01-27,Q1,6:43,Kahleah Copper misses three point shot,0,0,Rose,Kahleah Copper
3bofd398uen2,2025-01-27,Q1,6:42,Laces defensive team rebound,0,0,Laces,
3bofd398uen2,2025-01-27,Q1,6:30,Tiffany Hayes makes two point shot,2,0,Laces,Tiffany Hayes
3bofd398uen2,2025-01-27,Q1,6:12,Chelsea Gray makes two point shot,2,2,Rose,Chelsea Gray
3bofd398uen2,2025-01-27,Q1,5:56,Tiffany Hayes misses two point shot,2,2,Laces,Tiffany Hayes
3bofd398uen2,2025-01-27,Q1,5:56,Angel Reese defensive rebound,2,2,Rose,Angel Reese
3bofd398uen2,2025-01-27,Q1,5:50,Chelsea Gray makes three point shot,2,5,Rose,Chelsea Gray
3bofd398uen2,2025-01-27,Q1,5:38,Tiffany Hayes makes two point shot,4,5,Laces,Tiffany Hayes
3bofd398uen2,2025-01-27,Q1,5:38,Kayla McBride assist,4,5,Laces,Kayla McBride
3bofd398uen2,2025-01-27,Q1,5:19,Chelsea Gray misses three point shot,4,5,Rose,Chelsea Gray
3bofd398uen2,2025-01-27,Q1,5:18,Stefanie Dolson defensive rebound,4,5,Laces,Stefanie Dolson
3bofd398uen2,2025-01-27,Q1,5:04,Kayla McBride misses three point shot,4,5,Laces,Kayla McBride
3bofd398uen2,2025-01-27,Q1,5:03,Stefanie Dolson offensive rebound,4,5,Laces,Stefanie Dolson
3bofd398uen2,2025-01-27,Q1,4:59,Stefanie Dolson assist,4,5,Laces,Stefanie Dolson
3bofd398uen2,2025-01-27,Q1,4:59,Kayla McBride makes two point shot,6,5,Laces,Kayla McBride
3bofd398uen2,2025-01-27,Q1,4:41,Angel Reese makes two point shot,6,7,Rose,Angel Reese
3bofd398uen2,2025-01-27,Q1,4:25,Tiffany Hayes misses two point shot,6,7,Laces,Tiffany Hayes
3bofd398uen2,2025-01-27,Q1,4:25,Chelsea Gray defensive rebound,6,7,Rose,Chelsea Gray
3bofd398uen2,2025-01-27,Q1,4:18,Chelsea Gray misses three point shot,6,7,Rose,Chelsea Gray
3bofd398uen2,2025-01-27,Q1,4:17,Angel Reese offensive rebound,6,7,Rose,Angel Reese
3bofd398uen2,2025-01-27,Q1,4:09,Angel Reese  turnover,6,7,Rose,Angel Reese
3bofd398uen2,2025-01-27,Q1,3:58,Tiffany Hayes misses two point shot,6,7,Laces,Tiffany Hayes
3bofd398uen2,2025-01-27,Q1,3:57,Stefanie Dolson offensive rebound,6,7,Laces,Stefanie Dolson
3bofd398uen2,2025-01-27,Q1,3:57,Kahleah Copper personal foul,6,7,Rose,Kahleah Copper
3bofd398uen2,2025-01-27,Q1,3:57,Stefanie Dolson makes free throw (2pt.),8,7,Laces,Stefanie Dolson
3bofd398uen2,2025-01-27,Q1,3:37,Angel Reese misses three point shot,8,7,Rose,Angel Reese
3bofd398uen2,2025-01-27,Q1,3:37,Laces defensive team rebound,8,7,Laces,
3bofd398uen2,2025-01-27,Q1,3:28,Kayla McBride misses three point shot,8,7,Laces,Kayla McBride
